x,y
6.788535435,68.20190136
69.66028632,74.63913134
89.52150626,81.09704293
40.0764342,76.59091238
3.855531474,40.56930936
9.502557732,76.01994917
57.15360991,51.35614219
58.82344887,35.75360486
1.921266478,32.8158468
80.14199302,22.45508625
0.480485016,95.79241258
48.62102979,86.36329965
94.52349047,90.41527295
61.10317626,45.07970693
65.25767393,74.31961202
12.66289718,5.290047631
94.62760733,15.34533319
21.53377828,82.7136138
67.95834571,76.1469517
4.734251436,79.9619697
37.66026835,13.22285016
8.276480828,34.7803499
93.44418292,16.41037032
3.357288523,25.65577013
10.95224255,7.820462463
4.649622195,74.68302172
57.51832939,81.72583934
52.23030572,40.01340524
21.35826956,38.96818346
70.68491202,18.03298762
62.24531376,34.19347801
27.26174039,83.97270877
73.21123314,29.01420289
14.11518264,4.026290774
47.40816937,4.279935301
98.53898983,70.42857316
21.41580741,85.03739896
43.99826704,79.38313958
62.66177991,45.75565533
88.76276346,41.47440512
38.22514137,21.90759393
51.65261732,80.73466178
28.35319351,5.782753395
1.200840445,34.19012768
34.58682908,0.564824751
52.9821839,68.55764043
12.4592004,12.49041472
80.80665713,59.23442139
38.84789439,64.07918892
93.69493325,82.43530379
23.64169559,91.34699182
37.4090755,66.91677658
17.44479556,79.48536044
79.54443738,49.36881092
39.35355666,11.73313528
81.21266604,78.50699698
94.79500886,46.917701
11.87603666,38.97150301
50.72456098,54.6910145
37.34399647,38.5473287
99.62011841,20.97790087
12.27656703,58.64386192
59.19522095,91.956848
7.571343204,23.91383248
7.44524691,76.77039258
69.92097617,21.94412442
84.08918073,29.7770883
77.24029495,44.01264687
27.8766056,86.68883824
39.25662719,41.60172131
49.739856,49.25591887
76.5778513,56.05619224
72.15640964,34.72517249
66.33813373,72.99140744
